epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.24542,1.76734,3.14424,1.59688,0.01017,0.71765,0.01719,0.00706,1.57017,3.23302,1.57103,8e-05,8e-05,8e-05
2,3.85641,1.58576,3.05787,1.43066,0.01317,0.92941,0.21679,0.12192,1.31562,2.85884,1.13178,0.000178218,0.000178218,0.000178218
3,5.56322,1.37661,2.57925,1.22578,0.01417,1,0.6715,0.34203,1.34059,2.71058,1.07874,0.000274456,0.000274456,0.000274456
4,7.2079,1.41503,2.05092,1.18331,0.01417,1,0.73291,0.38874,1.35345,2.57421,1.06898,0.000368714,0.000368714,0.000368714
5,8.841,1.37216,1.67949,1.18479,1,0.14311,0.79178,0.42439,1.25606,2.45681,1.04603,0.000460992,0.000460992,0.000460992
6,10.4815,1.343,1.39611,1.20388,0.91722,0.13043,0.68251,0.39624,1.27906,2.40324,1.08434,0.00055129,0.00055129,0.00055129
7,12.1097,1.38185,1.29824,1.23411,1,0.23631,0.64701,0.36394,1.33163,2.35848,1.09765,0.000639608,0.000639608,0.000639608
8,13.7274,1.3391,1.25363,1.2194,0.89713,0.20535,0.688,0.38168,1.33467,2.39206,1.10476,0.000725946,0.000725946,0.000725946
9,15.3619,1.33514,1.23285,1.2528,0.88624,0.36666,0.73168,0.41173,1.35944,2.22292,1.13483,0.000810304,0.000810304,0.000810304
10,17.0123,1.3299,1.1959,1.20586,0.88027,0.51898,0.76873,0.42532,1.35128,2.05752,1.16207,0.000892682,0.000892682,0.000892682
11,18.63,1.40958,1.17062,1.21772,0.65368,0.59956,0.56275,0.29915,1.35663,2.0703,1.17837,0.00097308,0.00097308,0.00097308
12,20.3084,1.35439,1.18612,1.20875,0.51793,0.51765,0.52091,0.29323,1.39298,2.06483,1.21623,0.0010515,0.0010515,0.0010515
13,21.9792,1.28671,1.07619,1.16017,0.82034,0.56471,0.73525,0.42068,1.40459,2.04658,1.23268,0.00112794,0.00112794,0.00112794
14,23.6485,1.27364,1.07774,1.1765,0.98243,0.65772,0.8469,0.50839,1.34594,1.80296,1.19511,0.00120239,0.00120239,0.00120239
15,25.3986,1.2624,1.05348,1.16985,0.89571,0.80834,0.87773,0.50765,1.39148,1.7172,1.21019,0.00127487,0.00127487,0.00127487
16,27.1084,1.23945,1.03513,1.15471,0.88103,0.8,0.86962,0.51607,1.39099,1.66247,1.18804,0.00134537,0.00134537,0.00134537
17,28.7858,1.23986,0.992,1.13109,0.90516,0.77647,0.90688,0.54027,1.37679,1.60969,1.19061,0.00141389,0.00141389,0.00141389
18,30.4611,1.24704,1.00468,1.13692,0.88605,0.73183,0.88838,0.52414,1.36975,1.55586,1.21387,0.00148043,0.00148043,0.00148043
19,32.1112,1.26613,0.97015,1.1302,0.92425,0.8,0.90909,0.54812,1.3442,1.43894,1.20271,0.00154498,0.00154498,0.00154498
